Pos	Team	P	W	D	L	For	Agn	Max	Min
1	Collingwood	22	17	1	4	2349	1658	162	41
2	Geelong	22	17	0	5	2518	1702	161	46
3	St Kilda	22	15	1	6	1935	159	151	37
4	Western Bulldogs	22	14	0	8	2174	1734	158	46
5	Sydney	22	13	0	9	2017	1863	129	59
6	Fremantle	22	13	0	9	2168	2087	160	39
7	Hawthorn	22	12	1	9	2044	1847	155	59
8	Carlton	22	11	0	11	2143	1983	156	57
9	North Melbourne	22	11	0	11	1930	2208	129	39
10	Port Adelaide	22	10	0	12	1749	2123	122	30
11	Adelaide	22	9	0	13	1763	1870	124	41
12	Melbourne	22	8	1	13	1863	1971	142	46
13	Brisbane Lions	22	7	0	15	1775	2158	114	43
14	Essendon	22	7	0	15	1930	2402	130	40
15	Richmond	22	6	0	16	1714	2348	126	45
16	West Coast	22	4	0	18	1773	2300	132	52
